source,post_id,comment_id,author_id,text,posted_at,collected_at,institution_id,department,lab_name,campus_id,campus_name_raw,campus_assignment_method,campus_assignment_confidence,researcher_name,source_url,likes_at_collection,comments_at_collection
rednote-synthetic,syn-0001,c-0001,auth-imp-00,"Great mentorship here — my mentor is approachable and encouraging. The work is interdisciplinary, spanning several departments.",2025-09-03T09:00:00,2026-02-01T12:00:00,imperial,Computing,Adaptive Systems Lab,imperial-south-kensington,,unspecified,,Group Lead,https://example.invalid/synthetic/post/syn-0001,11,1
rednote-synthetic,syn-0001,c-0001,auth-imp-00,"Great mentorship here — my mentor is approachable and encouraging. The work is interdisciplinary, spanning several departments.",2025-09-03T09:00:00,2026-03-01T12:00:00,imperial,Computing,Adaptive Systems Lab,imperial-south-kensington,,unspecified,,,https://example.invalid/synthetic/post/syn-0001,26,3
rednote-synthetic,syn-0002,c-0002,auth-imp-01,Very collaborative and friendly group culture overall. Communication about expectations is sometimes unclear.,2025-09-05T10:00:00,2026-02-01T12:00:00,imperial,Computing,Adaptive Systems Lab,,White City,unspecified,,,https://example.invalid/synthetic/post/syn-0002,12,2
rednote-synthetic,syn-0002,c-0002,auth-imp-01,Very collaborative and friendly group culture overall. Communication about expectations is sometimes unclear.,2025-09-05T10:00:00,2026-03-01T12:00:00,imperial,Computing,Adaptive Systems Lab,,White City,unspecified,,,https://example.invalid/synthetic/post/syn-0002,27,4
rednote-synthetic,syn-0003,c-0003,auth-imp-02,Well-funded lab with good equipment and plenty of resources. 组里很国际化，成员来自不同国家。,2025-09-07T11:00:00,2026-02-01T12:00:00,imperial,Computing,Adaptive Systems Lab,,,unspecified,,,https://example.invalid/synthetic/post/syn-0003,13,3
rednote-synthetic,syn-0003,c-0003,auth-imp-02,Well-funded lab with good equipment and plenty of resources. 组里很国际化，成员来自不同国家。,2025-09-07T11:00:00,2026-03-01T12:00:00,imperial,Computing,Adaptive Systems Lab,,,unspecified,,,https://example.invalid/synthetic/post/syn-0003,28,5
rednote-synthetic,syn-0004,,auth-imp-03,There is real research freedom and flexible working arrangements. It can feel competitive in the run-up to paper deadlines.,2025-09-09T12:00:00,2026-02-01T12:00:00,imperial,Computing,Adaptive Systems Lab,imperial-white-city,,unspecified,,,https://example.invalid/synthetic/post/syn-0004,14,4
rednote-synthetic,syn-0005,,auth-imp-04,"导师很支持，实验室氛围友好。 The group is quite international, with members from many countries.",2025-09-11T13:00:00,2026-02-01T12:00:00,imperial,Computing,Adaptive Systems Lab,imperial-south-kensington,,unspecified,,,https://example.invalid/synthetic/post/syn-0005,15,5
rednote-synthetic,syn-0006,,auth-imp-00,组里资源充足，设备很好，导师也很有帮助。 有时候沟通不太清楚，期望也不明确。,2025-09-13T14:00:00,2026-02-01T12:00:00,imperial,Computing,Adaptive Systems Lab,imperial-white-city,,unspecified,,,https://example.invalid/synthetic/post/syn-0006,16,0
rednote-synthetic,syn-0007,,auth-imp-01,"The supervisor is supportive and gives helpful, constructive feedback. It is a fairly large group with many PhD students and postdocs.",2025-09-15T15:00:00,2026-02-01T12:00:00,imperial,Computing,Adaptive Systems Lab,imperial-south-kensington,,unspecified,,,https://example.invalid/synthetic/post/syn-0007,17,1
rednote-synthetic,syn-0008,,auth-imp-02,Great mentorship here — my mentor is approachable and encouraging. There is noticeable pressure around deadlines and high expectations.,2025-09-17T16:00:00,2026-02-01T12:00:00,imperial,Computing,Adaptive Systems Lab,imperial-white-city,,unspecified,,,https://example.invalid/synthetic/post/syn-0008,18,2
rednote-synthetic,syn-0009,,auth-imp-03,Very collaborative and friendly group culture overall. 研究偏跨学科合作。,2025-09-19T17:00:00,2026-02-01T12:00:00,imperial,Computing,Adaptive Systems Lab,imperial-south-kensington,,unspecified,,,https://example.invalid/synthetic/post/syn-0009,19,3
rednote-synthetic,syn-0010,c-0010,auth-imp-w00,Honestly the PI is an idiot and completely incompetent.,2025-09-21T09:00:00,2026-02-01T12:00:00,imperial,Computing,Adaptive Systems Lab,,,unspecified,,,https://example.invalid/synthetic/comment/syn-0010,3,1
rednote-synthetic,syn-0011,c-0011,auth-imp-w01,I was diagnosed with depression during my time in this lab.,2025-09-23T09:00:00,2026-02-01T12:00:00,imperial,Computing,Adaptive Systems Lab,,,unspecified,,,https://example.invalid/synthetic/comment/syn-0011,4,2
rednote-synthetic,syn-0012,c-0012,auth-imp-00,导师很支持，实验室氛围友好。 压力有点大，工作量比较多。,2025-09-25T09:00:00,2026-02-01T12:00:00,imperial,Computing,Visual Computing Group,imperial-white-city,,unspecified,,Group Lead,https://example.invalid/synthetic/post/syn-0012,22,0
rednote-synthetic,syn-0012,c-0012,auth-imp-00,导师很支持，实验室氛围友好。 压力有点大，工作量比较多。,2025-09-25T09:00:00,2026-03-01T12:00:00,imperial,Computing,Visual Computing Group,imperial-white-city,,unspecified,,,https://example.invalid/synthetic/post/syn-0012,37,2
rednote-synthetic,syn-0013,c-0013,auth-imp-01,组里资源充足，设备很好，导师也很有帮助。 组里很国际化，成员来自不同国家。,2025-09-27T10:00:00,2026-02-01T12:00:00,imperial,Computing,Visual Computing Group,,White City,unspecified,,,https://example.invalid/synthetic/post/syn-0013,23,1
rednote-synthetic,syn-0014,c-0014,auth-imp-02,"The supervisor is supportive and gives helpful, constructive feedback. The hours can be long and the workload is heavy at times.",2025-09-29T11:00:00,2026-02-01T12:00:00,imperial,Computing,Visual Computing Group,,,unspecified,,,https://example.invalid/synthetic/post/syn-0014,24,2
rednote-synthetic,syn-0015,,auth-imp-03,"Great mentorship here — my mentor is approachable and encouraging. The group is quite international, with members from many countries.",2025-10-01T12:00:00,2026-02-01T12:00:00,imperial,Computing,Visual Computing Group,,,unspecified,,,https://example.invalid/synthetic/post/syn-0015,25,3
rednote-synthetic,syn-0016,,auth-imp-00,Very collaborative and friendly group culture overall. Communication about expectations is sometimes unclear.,2025-10-03T13:00:00,2026-02-01T12:00:00,imperial,Computing,Visual Computing Group,,,unspecified,,,https://example.invalid/synthetic/post/syn-0016,26,4
rednote-synthetic,syn-0017,,auth-imp-01,Well-funded lab with good equipment and plenty of resources. It is a fairly large group with many PhD students and postdocs.,2025-10-05T14:00:00,2026-02-01T12:00:00,imperial,Computing,Visual Computing Group,,,unspecified,,,https://example.invalid/synthetic/post/syn-0017,27,5
rednote-synthetic,syn-0018,c-0018,auth-imp-00,There is real research freedom and flexible working arrangements. It can feel competitive in the run-up to paper deadlines.,2025-10-07T09:00:00,2026-02-01T12:00:00,imperial,Bioengineering,Neurotechnology Lab,imperial-south-kensington,,unspecified,,Group Lead,https://example.invalid/synthetic/post/syn-0018,28,0
rednote-synthetic,syn-0019,c-0019,auth-imp-01,导师很支持，实验室氛围友好。 研究偏跨学科合作。,2025-10-09T10:00:00,2026-02-01T12:00:00,imperial,Bioengineering,Neurotechnology Lab,,South Kensington,unspecified,,,https://example.invalid/synthetic/post/syn-0019,29,1
rednote-synthetic,syn-0020,c-0020,auth-imp-00,组里资源充足，设备很好，导师也很有帮助。 有时候沟通不太清楚，期望也不明确。,2025-10-11T11:00:00,2026-02-01T12:00:00,imperial,Bioengineering,Neurotechnology Lab,,,unspecified,,,https://example.invalid/synthetic/post/syn-0020,30,2
rednote-synthetic,syn-0021,c-0021,auth-ucl-00,"The supervisor is supportive and gives helpful, constructive feedback. The work is interdisciplinary, spanning several departments.",2025-10-13T09:00:00,2026-02-01T12:00:00,ucl,Computer Science,Machine Reasoning Group,ucl-bloomsbury,,unspecified,,Group Lead,https://example.invalid/synthetic/post/syn-0021,31,3
rednote-synthetic,syn-0021,c-0021,auth-ucl-00,"The supervisor is supportive and gives helpful, constructive feedback. The work is interdisciplinary, spanning several departments.",2025-10-13T09:00:00,2026-03-01T12:00:00,ucl,Computer Science,Machine Reasoning Group,ucl-bloomsbury,,unspecified,,,https://example.invalid/synthetic/post/syn-0021,46,5
rednote-synthetic,syn-0022,c-0022,auth-ucl-01,Great mentorship here — my mentor is approachable and encouraging. There is noticeable pressure around deadlines and high expectations.,2025-10-15T10:00:00,2026-02-01T12:00:00,ucl,Computer Science,Machine Reasoning Group,,UCL East,unspecified,,,https://example.invalid/synthetic/post/syn-0022,32,4
rednote-synthetic,syn-0022,c-0022,auth-ucl-01,Great mentorship here — my mentor is approachable and encouraging. There is noticeable pressure around deadlines and high expectations.,2025-10-15T10:00:00,2026-03-01T12:00:00,ucl,Computer Science,Machine Reasoning Group,,UCL East,unspecified,,,https://example.invalid/synthetic/post/syn-0022,47,6
rednote-synthetic,syn-0023,c-0023,auth-ucl-02,Very collaborative and friendly group culture overall. 组里很国际化，成员来自不同国家。,2025-10-17T11:00:00,2026-02-01T12:00:00,ucl,Computer Science,Machine Reasoning Group,,,unspecified,,,https://example.invalid/synthetic/post/syn-0023,33,5
rednote-synthetic,syn-0024,,auth-ucl-03,Well-funded lab with good equipment and plenty of resources. A fair amount of administrative overhead slows things down.,2025-10-19T12:00:00,2026-02-01T12:00:00,ucl,Computer Science,Machine Reasoning Group,ucl-east,,unspecified,,,https://example.invalid/synthetic/post/syn-0024,34,0
rednote-synthetic,syn-0025,,auth-ucl-00,"There is real research freedom and flexible working arrangements. The group is quite international, with members from many countries.",2025-10-21T13:00:00,2026-02-01T12:00:00,ucl,Computer Science,Machine Reasoning Group,ucl-bloomsbury,,unspecified,,,https://example.invalid/synthetic/post/syn-0025,35,1
rednote-synthetic,syn-0026,,auth-ucl-01,导师很支持，实验室氛围友好。 压力有点大，工作量比较多。,2025-10-23T14:00:00,2026-02-01T12:00:00,ucl,Computer Science,Machine Reasoning Group,ucl-east,,unspecified,,,https://example.invalid/synthetic/post/syn-0026,36,2
rednote-synthetic,syn-0027,,auth-ucl-02,组里资源充足，设备很好，导师也很有帮助。 It is a fairly large group with many PhD students and postdocs.,2025-10-25T15:00:00,2026-02-01T12:00:00,ucl,Computer Science,Machine Reasoning Group,ucl-bloomsbury,,unspecified,,,https://example.invalid/synthetic/post/syn-0027,37,3
rednote-synthetic,syn-0028,,auth-ucl-03,"The supervisor is supportive and gives helpful, constructive feedback. The hours can be long and the workload is heavy at times.",2025-10-27T16:00:00,2026-02-01T12:00:00,ucl,Computer Science,Machine Reasoning Group,ucl-east,,unspecified,,,https://example.invalid/synthetic/post/syn-0028,38,4
rednote-synthetic,syn-0029,c-0029,auth-ucl-w00,某老师涉嫌学术造假，数据被质疑。,2025-10-29T09:00:00,2026-02-01T12:00:00,ucl,Computer Science,Machine Reasoning Group,,,unspecified,,,https://example.invalid/synthetic/comment/syn-0029,12,2
